BounceRates,ExitRates,PageValues,SpecialDay,Weekend,Browser,OperatingSystems,VisitorType,Month,Region,ProductRelated,Informational,TrafficType,Administrative,label
0.0,0.01875,0.0,0.0,False,2,2,New_Visitor,June,3,12,0,1,4,False
0.066666667,0.133333333,0.0,0.0,False,2,3,Returning_Visitor,Dec,1,3,0,20,0,False
0.022222222,0.055555556,0.0,0.0,False,2,3,Returning_Visitor,May,8,6,1,3,2,False
0.0,0.1,0.0,0.0,False,2,8,Returning_Visitor,Nov,4,2,0,3,0,False
0.013114754,0.031399948,0.0,0.4,False,2,2,Returning_Visitor,May,1,118,0,20,1,False
0.02,0.02952381,0.0,0.0,False,2,3,Returning_Visitor,Nov,2,11,0,2,0,False
0.016666667,0.058333333,0.0,0.0,False,2,3,Returning_Visitor,Feb,4,12,0,1,0,False
0.012903226,0.029032258,4.945717395,0.0,False,2,2,Returning_Visitor,Nov,9,27,2,6,6,False
0.033333333,0.05,0.0,0.0,False,1,1,New_Visitor,Nov,3,6,0,2,0,False
0.0,0.057142857,0.0,0.0,False,2,2,Returning_Visitor,Oct,1,6,0,2,1,False
0.2,0.2,0.0,0.0,False,8,1,Returning_Visitor,May,1,1,0,3,0,False
0.006896552,0.040229885,0.0,0.0,False,2,3,Returning_Visitor,May,1,26,4,2,0,False
0.1,0.15,0.0,0.0,False,3,3,Returning_Visitor,Mar,7,4,0,10,0,False
0.02705314,0.048201119,0.0,0.0,False,1,1,Returning_Visitor,Aug,1,44,0,3,4,False
0.001363636,0.011363949,22.02197159,0.6,False,2,2,Returning_Visitor,May,7,176,0,2,2,True
0.0,0.013131313,0.0,0.2,False,1,1,Returning_Visitor,May,1,27,0,3,7,False
0.023529412,0.046470588,0.0,0.0,False,2,2,Returning_Visitor,Mar,8,18,0,1,1,False
0.011111111,0.033333333,0.0,0.0,False,4,2,Returning_Visitor,Feb,1,17,0,3,0,False
0.0,0.05,0.0,0.0,False,2,2,New_Visitor,Mar,9,2,0,2,2,False
0.028733963,0.046198341,0.0,0.0,True,2,3,Returning_Visitor,Nov,1,79,4,13,1,False
0.003125,0.012179841,32.32493691,0.0,True,2,3,Returning_Visitor,Dec,1,119,9,2,6,True
0.01025641,0.022435897,0.0,0.0,False,2,4,Returning_Visitor,Dec,1,26,0,8,0,False
0.2,0.2,0.0,0.0,True,1,1,Returning_Visitor,Dec,4,1,0,1,0,False
0.0,0.1,0.0,0.0,False,2,2,Returning_Visitor,Mar,1,2,0,1,0,False
0.0,0.015384615,57.58892308,0.6,False,1,4,New_Visitor,May,3,14,0,4,0,True
0.011897436,0.028190306,0.0,0.0,False,2,3,Returning_Visitor,Dec,1,63,1,2,5,False
0.0375,0.0625,0.0,0.0,True,2,3,Returning_Visitor,May,4,18,0,4,1,False
0.033333333,0.026888889,0.0,0.0,False,2,3,Returning_Visitor,Dec,3,30,1,3,0,False
0.0,0.022222222,0.0,0.0,False,2,3,Returning_Visitor,Dec,1,11,0,2,0,False
0.008954009,0.057518519,0.0,0.6,False,2,2,Returning_Visitor,May,4,61,0,2,1,False
0.002884615,0.013141026,12.83705128,0.8,False,2,3,Returning_Visitor,May,4,50,2,3,2,False
0.0,0.013888889,0.0,0.0,True,2,1,New_Visitor,Dec,3,9,0,2,0,False
0.005405405,0.011186186,0.0,0.0,True,2,3,Returning_Visitor,Dec,3,30,0,2,9,False
0.004761905,0.024603175,0.0,0.0,True,2,2,Returning_Visitor,May,2,42,0,4,0,False
0.019047619,0.034920635,0.0,0.0,False,2,3,Returning_Visitor,Aug,8,42,0,2,0,False
0.031578947,0.048245614,0.0,0.0,False,2,2,Returning_Visitor,Mar,1,19,0,3,0,False
0.0,0.001333333,40.42327574,0.0,False,2,2,Returning_Visitor,Nov,7,26,0,2,0,True
0.1,0.133333333,0.0,1.0,True,1,1,Returning_Visitor,May,1,6,0,3,0,False
0.004651163,0.019047619,7.734903101,0.0,False,2,2,Returning_Visitor,May,6,42,1,4,1,True
0.0,0.011111111,0.0,0.0,False,4,2,Returning_Visitor,Sep,6,7,0,2,4,True
0.004528302,0.017735849,0.0,0.0,False,2,2,Returning_Visitor,Nov,1,53,0,2,0,True
0.0,0.009705882,0.0,0.0,False,2,3,Returning_Visitor,Oct,6,18,0,1,0,False
0.0,0.1,0.0,0.0,True,2,2,Returning_Visitor,May,1,2,0,13,0,False
0.005952381,0.023185941,0.0,0.0,False,2,3,Returning_Visitor,Dec,2,37,1,2,7,True
0.0,0.021428571,0.0,0.0,False,2,2,New_Visitor,Sep,1,16,0,5,1,True
0.0,0.04,0.0,0.0,False,2,2,Returning_Visitor,Mar,9,5,0,1,0,False
0.013333333,0.031333333,0.0,0.0,False,2,2,Returning_Visitor,Nov,1,30,0,2,0,False
0.2,0.2,0.0,0.0,True,8,1,Returning_Visitor,Nov,8,1,0,11,0,False
0.2,0.2,0.0,0.2,False,2,3,Returning_Visitor,May,1,3,0,4,0,False
0.045454545,0.060606061,0.0,0.4,False,1,1,Returning_Visitor,May,3,6,1,1,2,False
0.2,0.2,0.0,0.0,False,2,3,Returning_Visitor,Jul,1,1,0,1,0,False
0.0,0.1,0.0,0.0,False,2,2,Returning_Visitor,Dec,3,2,0,1,0,False
0.0,0.04,0.0,0.0,False,2,2,New_Visitor,Dec,4,5,0,2,0,False
0.028571429,0.05,0.0,0.0,True,1,1,Returning_Visitor,May,1,5,0,15,2,False
0.0,0.011111111,0.0,0.0,False,3,3,Returning_Visitor,May,4,6,0,2,4,False
0.016666667,0.035714286,0.0,0.0,True,2,3,Returning_Visitor,Nov,1,12,0,13,0,False
0.0,0.066666667,0.0,0.0,True,1,4,Returning_Visitor,May,1,3,0,4,0,False
0.0,0.05,0.0,0.0,False,5,2,Returning_Visitor,Mar,1,8,0,3,0,False
0.0,0.023958333,0.0,0.0,False,2,2,Returning_Visitor,Aug,3,16,0,4,0,False
0.0,0.058333333,0.0,0.4,False,2,2,Returning_Visitor,May,1,6,2,2,0,False
0.0,0.011363636,19.21218939,0.0,False,2,2,Returning_Visitor,May,3,44,0,2,2,True
0.002739726,0.013368848,0.888485964,0.0,False,2,2,Returning_Visitor,Aug,3,216,2,13,5,False
0.007142857,0.026190476,32.70034468,0.0,False,2,2,Returning_Visitor,Jul,6,10,0,1,3,True
0.028571429,0.064285714,0.0,0.0,False,2,3,Returning_Visitor,Nov,3,8,1,1,5,False
0.0,0.020454545,28.12876638,0.0,False,2,2,Returning_Visitor,Dec,7,19,0,2,6,False
0.0,0.006060606,10.63449802,0.0,False,1,1,Returning_Visitor,Mar,1,31,0,1,4,True
0.007272727,0.014545455,0.0,0.0,True,1,1,Returning_Visitor,Dec,1,54,1,10,3,False
0.058823529,0.094117647,0.0,0.0,False,2,2,Returning_Visitor,Aug,3,17,0,13,0,False
0.0,0.014555556,0.0,0.0,False,2,2,Returning_Visitor,Nov,1,70,0,2,4,False
0.033333333,0.053333333,0.0,0.0,True,2,2,Returning_Visitor,May,1,11,0,6,4,False
0.0,0.00952381,0.0,0.0,True,1,1,New_Visitor,Dec,3,2,4,10,2,False
0.002020202,0.013183349,0.0,0.0,False,2,2,Returning_Visitor,Dec,4,94,0,2,5,False
0.063636364,0.109090909,0.0,0.8,False,2,2,Returning_Visitor,May,1,22,0,13,0,False
0.0,0.033333333,0.0,0.0,False,4,2,Returning_Visitor,Mar,1,3,0,10,0,False
0.03,0.06,0.0,0.0,False,1,4,Returning_Visitor,Mar,3,20,0,1,0,False
0.2,0.2,0.0,0.6,False,2,2,Returning_Visitor,May,7,2,0,3,0,False
0.0,0.028571429,0.0,0.0,False,1,1,Returning_Visitor,May,3,7,0,3,1,False
0.045454545,0.081818182,0.0,0.0,False,2,2,Returning_Visitor,Mar,4,12,0,1,1,False
0.028571429,0.028571429,71.23156574,0.0,False,2,3,Returning_Visitor,Nov,1,9,0,1,7,False
0.0,0.030666667,0.0,0.0,False,2,3,Returning_Visitor,May,3,22,0,11,3,False
0.0,0.01037037,0.0,0.0,False,2,2,Returning_Visitor,May,4,42,0,2,3,False
0.2,0.2,0.0,0.0,False,2,2,Returning_Visitor,June,1,1,0,4,0,False
0.002222222,0.021111111,0.0,0.0,False,5,2,Returning_Visitor,Dec,3,43,0,2,4,False
0.0,0.025,0.0,0.0,True,1,1,Returning_Visitor,Mar,3,7,0,2,1,False
0.069565217,0.091304348,0.0,0.0,False,2,2,Returning_Visitor,June,4,21,3,13,0,False
0.0,0.1,0.0,0.6,False,10,2,Returning_Visitor,May,3,2,0,1,0,False
0.0,0.003571429,0.0,0.0,True,2,3,Returning_Visitor,May,1,41,0,2,3,False
0.0,0.025,0.0,0.0,False,2,2,Returning_Visitor,Feb,1,8,0,1,0,False
