Starting_Price_Average,Winning_Ratio,Auction_Duration,label
0.993592814,0.916666667,1.0,0
0.993592814,1.0,7.0,0
0.993592814,0.0,5.0,0
0.993592814,0.857142857,1.0,1
0.0,0.8,7.0,0
0.0,0.0,7.0,0
0.0,0.0,3.0,0
0.967640476,0.833333333,7.0,0
0.514607147,1.0,1.0,1
0.0,0.666666667,5.0,1
0.999935281,0.0,5.0,0
0.0,0.0,5.0,0
0.993592814,0.0,7.0,0
0.514607147,0.0,1.0,0
0.993592814,0.75,5.0,0
0.0,0.0,3.0,0
0.0,0.333333333,3.0,0
0.993528095,0.0,7.0,0
0.825258573,0.0,5.0,0
0.0,0.0,5.0,0
0.993528095,0.0,3.0,0
0.0,1.0,1.0,1
0.0,0.0,1.0,0
0.993592814,1.0,7.0,0
0.993528095,0.0,7.0,0
0.0,0.848214286,5.0,0
0.0,0.0,3.0,0
0.0,0.0,5.0,0
0.993592814,0.0,10.0,0
0.993592814,0.0,7.0,0
0.0,1.0,1.0,0
0.993528095,0.0,7.0,0
0.993592814,0.0,5.0,0
0.0,0.0,5.0,0
0.0,0.0,3.0,0
0.999935281,0.821428571,1.0,1
0.0,0.666666667,3.0,0
0.993592814,0.0,1.0,0
0.993592814,0.0,7.0,0
0.0,0.891891892,1.0,0
0.0,0.0,5.0,0
0.993592814,0.0,5.0,0
0.0,0.6,5.0,0
0.514607147,0.0,7.0,0
0.993592814,0.8125,1.0,1
0.0,0.0,7.0,0
0.0,0.846153846,1.0,0
0.0,0.8,7.0,0
0.0,0.727272727,3.0,0
0.0,0.0,3.0,0
0.0,0.818181818,7.0,0
0.0,0.0,7.0,0
0.0,0.0,1.0,0
0.0,0.9,3.0,0
0.999935281,0.916666667,1.0,1
0.0,0.0,5.0,0
0.0,0.916666667,1.0,0
0.993528095,0.0,7.0,0
0.0,0.75,5.0,0
0.993592814,0.0,5.0,0
0.993592814,0.0,7.0,0
0.999935281,0.0,1.0,0
0.0,0.0,3.0,0
0.0,0.727272727,7.0,0
0.993592814,0.0,7.0,0
0.0,0.0,3.0,0
0.0,1.0,7.0,0
0.0,0.0,3.0,0
0.993592814,0.0,1.0,0
0.0,0.76,7.0,0
0.0,0.833333333,1.0,0
0.993592814,0.0,7.0,0
0.0,0.0,3.0,0
0.993592814,0.0,7.0,0
0.0,0.0,1.0,0
0.0,0.666666667,7.0,0
0.999935281,0.0,7.0,0
0.0,0.866666667,5.0,0
0.0,0.0,7.0,0
0.993592814,1.0,3.0,0
0.0,1.0,1.0,0
0.0,0.0,5.0,0
0.0,0.571428571,3.0,0
0.0,0.806451613,7.0,0
0.0,0.0,1.0,0
0.0,0.0,3.0,0
0.993592814,0.0,7.0,0
0.99935281,0.0,5.0,0
0.0,1.0,5.0,0
0.0,1.0,5.0,0
0.0,0.0,5.0,0
0.993592814,0.916666667,7.0,1
0.935604548,0.0,1.0,0
0.0,0.933333333,7.0,0
0.0,1.0,1.0,1
