s12,s13,s14,s15,s16,s21,s23,s24,s25,s26,s31,s32,s34,s35,s36,s41,s42,s43,s45,s46,s51,s52,s53,s54,s56,s61,s62,s63,s64,s65,label
-0.0043,0.000675,-0.007466,0.00103,-0.000352,-0.001879,0.00238,-0.00229,-0.000674,0.001084,-0.004515,-0.00247,-0.000178,0.000114,0.000181,-0.00291,-0.001707,-1e-06,0.000614,-0.000495,8.8e-05,-0.000535,-0.003302,-0.006236,-0.000557,-0.000485,-0.000397,-0.000741,0.003493,-0.000197,0
-0.003217,0.00018,0.000638,0.003494,0.00012,-0.000695,0.000217,0.000516,-0.000352,0.000899,-0.004663,-0.002242,-0.00014,0.00054,3.3e-05,-0.002036,-0.002156,0.000109,0.00091,-0.000533,-9.2e-05,-0.000476,-0.003237,-0.005937,-0.000816,-0.000492,-0.000258,-0.000926,0.00355,-0.000168,1
-0.002116,0.00082,6.5e-05,0.003312,0.000603,-0.000909,-0.000246,0.000323,-0.000931,0.001391,-0.004378,-0.001692,-0.00032,8.4e-05,0.000128,-0.002904,-0.002169,-0.000147,0.000451,-0.000464,0.000128,-0.000394,-0.00275,-0.005995,-0.00084,-0.000945,-0.000703,-0.000771,0.003417,-0.000225,0
-0.00576,0.000819,-0.007678,0.001116,-0.000417,-0.001514,0.002991,-0.001442,-0.000725,0.001129,-0.004275,-0.002439,-0.000155,0.000621,8.3e-05,-0.002041,-0.002261,0.000196,0.000959,-0.00042,-5.5e-05,-0.000317,-0.003099,-0.006383,-0.000733,-0.000839,-0.000243,-0.000905,0.003275,0.000255,0
-0.004974,4.3e-05,-0.007444,0.001368,-0.000191,-0.001412,0.002536,-0.002388,-0.000295,0.000571,-0.004101,-0.002497,-0.0003,-8.9e-05,-0.000287,-0.002664,-0.002025,-0.000126,0.000926,-0.000487,-0.000142,-0.000575,-0.003218,-0.006011,-0.000724,-0.000512,-0.000376,-0.000895,0.003626,-0.000547,1
-0.005067,0.000413,-0.006667,0.000853,-0.00085,-0.001998,0.003265,-0.00293,0.000207,0.000485,-0.004227,-0.002167,-0.000263,0.000613,-0.00013,-0.002511,-0.002127,0.000214,0.000879,-0.000565,1e-06,-0.000516,-0.002952,-0.006165,-0.000466,-0.000371,-0.000378,-0.000804,0.003642,-0.000573,0
-0.00275,-9.9e-05,0.000426,0.003305,0.000214,-0.000365,-6.1e-05,0.000495,-0.00038,0.000601,-0.00382,-0.002583,-0.000251,-9.7e-05,-0.000218,-0.00265,-0.002064,-0.000183,0.001016,-0.000543,-0.000146,-0.000494,-0.003263,-0.005966,-0.00075,-0.000529,-0.000328,-0.000937,0.003625,-0.000473,1
-0.002917,0.000547,0.000583,0.003096,0.000613,-0.000733,-3.9e-05,0.000427,-0.000542,0.001308,-0.004214,-0.002545,-0.000189,-0.000105,8.8e-05,-0.002881,-0.002229,-0.000134,0.00091,-0.000637,0.000251,-0.000643,-0.003483,-0.006246,-0.000792,-0.000441,-0.000409,-0.00082,0.00357,-0.000363,1
-0.004369,-0.000148,-0.007556,0.000938,-8e-05,-0.001887,0.002407,-0.00251,-0.000616,0.000944,-0.004088,-0.003112,-0.000207,-0.00014,0.000132,-0.002941,-0.001861,-8.6e-05,0.000796,-0.000821,0.0002,-0.000679,-0.003395,-0.006412,-0.000225,-0.000366,-0.000383,-0.000668,0.003452,-0.000625,1
-0.005504,0.001013,-0.006544,0.001516,-0.001061,-0.00169,0.002903,-0.002365,7e-06,0.00074,-0.004699,-0.001711,-0.000119,0.000629,-7.3e-05,-0.002191,-0.002002,0.000318,0.000836,-0.000543,0.000295,-0.000382,-0.003399,-0.00578,-0.000824,-0.000803,-0.000335,-0.00072,0.003536,-0.000156,1
-0.002529,0.000668,0.000488,0.003633,-0.000219,-0.000208,-0.000415,0.000438,-0.000681,0.001191,-0.003789,-0.002137,-0.000366,-9.7e-05,0.000758,-0.002229,-0.001995,-0.000275,0.000878,-0.000653,-0.000357,-0.000213,-0.003288,-0.005938,-0.000578,-0.000884,-9.3e-05,-0.000822,0.003481,-0.000621,1
-0.004517,0.000225,-0.006734,0.00131,-0.001185,-0.001757,0.002706,-0.002503,0.000106,0.000659,-0.004451,-0.002183,-0.000165,0.000404,3.5e-05,-0.00251,-0.001582,0.000159,0.000721,-0.000623,0.000439,-0.000456,-0.003357,-0.005686,-0.00061,-0.000431,-0.000342,-0.000645,0.003356,-0.000314,1
-0.00477,7.3e-05,-0.007979,0.001052,-0.000102,-0.000805,0.002198,-0.002613,-0.000839,0.001262,-0.004503,-0.002537,-0.000205,4.7e-05,0.000367,-0.002696,-0.00186,-0.0003,0.000808,-0.000725,0.000213,-0.000488,-0.00336,-0.006196,-0.000289,-0.000455,-0.000273,-0.000731,0.003417,-0.000625,1
-0.003346,0.002118,0.002168,0.004044,0.000566,-0.000577,3.8e-05,0.00051,-0.000375,0.002166,-0.005976,-0.002129,-0.000292,6.1e-05,-0.000307,-0.003913,-0.002422,0.000256,0.001114,-0.001449,-4.6e-05,-0.000985,-0.007047,-0.008589,-0.000422,-0.000285,-0.000552,-0.000768,0.004417,-0.001483,0
-0.002677,2.8e-05,0.000521,0.003588,1.8e-05,-0.000276,4.3e-05,0.000532,-0.000373,0.000558,-0.003512,-0.002744,-0.000335,-0.000106,-0.000356,-0.002412,-0.00222,-0.000367,0.000875,-0.000526,-0.000243,-0.000597,-0.00333,-0.006207,-0.000751,-0.000504,-0.000294,-0.000934,0.00365,-0.000601,1
